"case_id","month_id","month_start","case_label","spatial_definition","total_events","political_violence","civilian_targeting","homicides","terrorism","extortion","source_count","treatment","clash_dummy","gold_price","oil_price","cocaine_price","month_index"
"buenaventura","2018-01",2018-01-01,"Buenaventura","Municipality only",17,2,2,6,0,7,5,0,0,1333.680952,66.95190476,29496.105383742,1
"buenaventura","2018-02",2018-02-01,"Buenaventura","Municipality only",20,1,1,6,0,12,5,0,0,1332.757895,65.10157895,29250.1000088579,2
"buenaventura","2018-03",2018-03-01,"Buenaventura","Municipality only",9,0,0,4,0,5,5,0,0,1326.990476,64.41809524,29027.9016057368,3
"buenaventura","2018-04",2018-04-01,"Buenaventura","Municipality only",20,2,1,5,0,12,5,0,0,1338.37619,69.7247619,28781.8962308527,4
"buenaventura","2018-05",2018-05-01,"Buenaventura","Municipality only",18,4,3,8,0,3,5,0,0,1305.522727,75.20136364,28543.8265132229,5
"buenaventura","2018-06",2018-06-01,"Buenaventura","Municipality only",19,3,3,4,0,9,5,0,0,1283.205,74.7052381,28297.8211383389,6
"buenaventura","2018-07",2018-07-01,"Buenaventura","Municipality only",30,2,1,11,4,12,5,0,0,1240.480952,74.81428571,28059.7514207091,7
"buenaventura","2018-08",2018-08-01,"Buenaventura","Municipality only",11,0,0,2,0,9,5,0,0,1207.756522,74.19173913,28287.4234611973,8
"buenaventura","2018-09",2018-09-01,"Buenaventura","Municipality only",13,1,1,4,0,7,5,0,0,1202.584211,78.72315789,28515.0955016855,9
"buenaventura","2018-10",2018-10-01,"Buenaventura","Municipality only",20,0,0,12,3,5,5,0,0,1219.063636,80.46409091,28735.4232828031,10
"buenaventura","2018-11",2018-11-01,"Buenaventura","Municipality only",16,1,0,11,0,4,5,0,0,1223.43,66.373,28963.0953232913,11
"buenaventura","2018-12",2018-12-01,"Buenaventura","Municipality only",25,1,1,18,0,5,5,0,0,1257.673684,58.08631579,29183.4231044089,12
"buenaventura","2019-01",2019-01-01,"Buenaventura","Municipality only",20,1,0,9,0,10,5,0,0,1294.309524,60.06714286,29411.0951448972,13
"buenaventura","2019-02",2019-02-01,"Buenaventura","Municipality only",16,0,0,6,0,10,5,0,0,1322.844444,63.69333333,29638.7671853854,14
"buenaventura","2019-03",2019-03-01,"Buenaventura","Municipality only",21,2,0,12,0,7,5,0,0,1302.095238,66.05761905,29844.4064477618,15
"buenaventura","2019-04",2019-04-01,"Buenaventura","Municipality only",15,0,0,9,0,6,5,0,0,1289.93,69.3225,30072.07848825,16
"buenaventura","2019-05",2019-05-01,"Buenaventura","Municipality only",21,0,0,10,0,11,5,0,0,1285.766667,67.19333333,30292.4062693676,17
"buenaventura","2019-06",2019-06-01,"Buenaventura","Municipality only",27,2,2,17,0,6,5,0,0,1364.095,61.1145,30520.0783098558,18
