"month_id","Buenaventura","Arauca","Tumaco"
"2018-01",17,87,34
"2018-02",20,45,34
"2018-03",9,52,28
"2018-04",20,49,43
"2018-05",18,39,32
"2018-06",19,35,41
"2018-07",30,54,45
"2018-08",11,72,27
"2018-09",13,38,28
"2018-10",20,51,26
"2018-11",16,62,34
"2018-12",25,44,20
"2019-01",20,61,27
"2019-02",16,87,16
"2019-03",21,87,37
"2019-04",15,54,16
"2019-05",21,107,8
"2019-06",27,73,17
"2019-07",21,74,5
"2019-08",25,42,8
"2019-09",24,62,2
"2019-10",12,36,14
"2019-11",24,41,4
"2019-12",18,31,10
"2020-01",18,55,27
"2020-02",25,47,13
"2020-03",7,28,18
"2020-04",20,16,19
"2020-05",14,44,15
"2020-06",17,28,8
"2020-07",20,41,23
"2020-08",16,44,18
"2020-09",23,59,20
"2020-10",15,25,14
"2020-11",18,38,64
"2020-12",41,45,15
"2021-01",55,50,23
"2021-02",36,43,26
"2021-03",23,60,15
"2021-04",27,37,40
"2021-05",47,46,15
"2021-06",34,32,11
"2021-07",56,48,18
"2021-08",54,55,6
"2021-09",31,63,26
"2021-10",52,46,7
"2021-11",46,34,8
"2021-12",45,27,7
"2022-01",62,137,12
"2022-02",60,97,9
"2022-03",66,49,5
"2022-04",51,43,7
"2022-05",39,61,6
"2022-06",37,65,5
"2022-07",35,46,20
"2022-08",37,72,4
"2022-09",18,44,14
"2022-10",23,47,10
"2022-11",24,120,27
"2022-12",30,73,17
"2023-01",30,53,23
"2023-02",7,76,28
"2023-03",26,68,19
"2023-04",25,31,7
"2023-05",47,51,13
"2023-06",29,58,8
"2023-07",33,51,23
"2023-08",29,56,20
"2023-09",18,62,10
"2023-10",26,42,13
"2023-11",33,52,2
"2023-12",39,66,7
"2024-01",23,54,9
"2024-02",25,28,3
"2024-03",19,65,8
"2024-04",28,74,12
"2024-05",31,64,1
"2024-06",23,52,4
"2024-07",26,50,6
"2024-08",16,79,11
"2024-09",15,64,8
"2024-10",11,69,2
"2024-11",14,80,4
"2024-12",28,50,1
"2025-01",33,39,3
"2025-02",34,30,2
"2025-03",30,66,6
"2025-04",33,43,1
"2025-05",19,35,8
"2025-06",34,30,7
"2025-07",38,45,9
"2025-08",25,59,5
"2025-09",39,82,9
"2025-10",13,52,3
"2025-11",3,13,0
"2025-12",0,12,0
"2026-01",2,16,1
"2026-02",2,19,0
"2026-03",2,5,4
