"month_id","case_id","count","departamento_std","violence_type","month_start","treatment_dummy","clash_dummy"
"2026-03","arauca",7,"arauca","extortion",2026-03-01,0,1
"2026-03","buenaventura",6,"valle del cauca","extortion",2026-03-01,0,0
"2026-02","arauca",14,"arauca","extortion",2026-02-01,0,1
"2026-02","buenaventura",9,"valle del cauca","extortion",2026-02-01,0,0
"2026-01","arauca",8,"arauca","extortion",2026-01-01,0,1
"2026-01","buenaventura",5,"valle del cauca","extortion",2026-01-01,0,0
"2026-01","tumaco",1,"nariño","extortion",2026-01-01,1,1
"2025-12","buenaventura",9,"valle del cauca","extortion",2025-12-01,1,1
"2025-12","tumaco",1,"nariño","extortion",2025-12-01,1,1
"2025-12","arauca",13,"arauca","extortion",2025-12-01,0,1
"2025-11","buenaventura",11,"valle del cauca","extortion",2025-11-01,1,1
"2025-11","arauca",9,"arauca","extortion",2025-11-01,0,1
"2025-10","buenaventura",10,"valle del cauca","extortion",2025-10-01,1,1
"2025-10","arauca",9,"arauca","extortion",2025-10-01,0,1
"2025-10","tumaco",1,"nariño","extortion",2025-10-01,1,1
"2025-09","buenaventura",8,"valle del cauca","extortion",2025-09-01,1,1
"2025-09","arauca",9,"arauca","extortion",2025-09-01,0,1
"2025-09","tumaco",1,"nariño","extortion",2025-09-01,1,1
"2025-08","buenaventura",7,"valle del cauca","extortion",2025-08-01,1,1
"2025-08","arauca",5,"arauca","extortion",2025-08-01,0,1
"2025-07","arauca",6,"arauca","extortion",2025-07-01,0,1
"2025-07","buenaventura",10,"valle del cauca","extortion",2025-07-01,1,1
"2025-07","tumaco",1,"nariño","extortion",2025-07-01,1,1
"2025-06","buenaventura",5,"valle del cauca","extortion",2025-06-01,1,1
"2025-06","arauca",5,"arauca","extortion",2025-06-01,0,1
"2025-06","tumaco",1,"nariño","extortion",2025-06-01,1,1
"2025-05","buenaventura",8,"valle del cauca","extortion",2025-05-01,1,1
"2025-05","arauca",6,"arauca","extortion",2025-05-01,0,1
"2025-05","tumaco",1,"nariño","extortion",2025-05-01,1,1
"2025-04","buenaventura",13,"valle del cauca","extortion",2025-04-01,1,1
"2025-04","arauca",3,"arauca","extortion",2025-04-01,0,1
"2025-03","buenaventura",5,"valle del cauca","extortion",2025-03-01,1,1
"2025-03","arauca",5,"arauca","extortion",2025-03-01,0,1
"2025-02","buenaventura",14,"valle del cauca","extortion",2025-02-01,1,1
"2025-02","arauca",4,"arauca","extortion",2025-02-01,0,1
"2025-01","buenaventura",12,"valle del cauca","extortion",2025-01-01,1,1
"2025-01","arauca",4,"arauca","extortion",2025-01-01,0,1
"2024-12","buenaventura",15,"valle del cauca","extortion",2024-12-01,1,1
"2024-12","arauca",7,"arauca","extortion",2024-12-01,0,1
"2024-11","buenaventura",5,"valle del cauca","extortion",2024-11-01,1,0
"2024-11","arauca",6,"arauca","extortion",2024-11-01,0,1
"2024-10","arauca",8,"arauca","extortion",2024-10-01,0,1
"2024-10","buenaventura",7,"valle del cauca","extortion",2024-10-01,1,0
"2024-09","arauca",7,"arauca","extortion",2024-09-01,0,1
"2024-09","tumaco",1,"nariño","extortion",2024-09-01,1,1
"2024-09","buenaventura",10,"valle del cauca","extortion",2024-09-01,1,0
"2024-08","buenaventura",13,"valle del cauca","extortion",2024-08-01,1,0
"2024-08","tumaco",2,"nariño","extortion",2024-08-01,1,1
"2024-08","arauca",5,"arauca","extortion",2024-08-01,1,1
"2024-07","buenaventura",17,"valle del cauca","extortion",2024-07-01,1,0
"2024-07","arauca",4,"arauca","extortion",2024-07-01,1,1
"2024-06","arauca",5,"arauca","extortion",2024-06-01,1,1
"2024-06","buenaventura",16,"valle del cauca","extortion",2024-06-01,1,0
"2024-06","tumaco",2,"nariño","extortion",2024-06-01,1,1
"2024-05","buenaventura",18,"valle del cauca","extortion",2024-05-01,1,0
"2024-05","arauca",6,"arauca","extortion",2024-05-01,1,1
"2024-04","buenaventura",16,"valle del cauca","extortion",2024-04-01,1,0
"2024-04","arauca",6,"arauca","extortion",2024-04-01,1,1
"2024-04","tumaco",3,"nariño","extortion",2024-04-01,0,1
"2024-03","arauca",3,"arauca","extortion",2024-03-01,1,1
"2024-03","buenaventura",9,"valle del cauca","extortion",2024-03-01,1,0
"2024-02","arauca",10,"arauca","extortion",2024-02-01,1,1
"2024-02","buenaventura",21,"valle del cauca","extortion",2024-02-01,1,0
"2024-02","tumaco",2,"nariño","extortion",2024-02-01,0,1
"2024-01","buenaventura",9,"valle del cauca","extortion",2024-01-01,1,0
