"case_id","month_id","month_start","case_label","spatial_definition","political_violence","civilian_targeting","homicides","terrorism","extortion","total_events","source_count","treatment","clash_dummy"
"buenaventura","2018-01",2018-01-01,"Buenaventura","Municipality only",2,2,4,0,7,15,5,0,0
"buenaventura","2018-02",2018-02-01,"Buenaventura","Municipality only",1,1,3,0,12,17,5,0,0
"buenaventura","2018-03",2018-03-01,"Buenaventura","Municipality only",0,0,1,0,5,6,5,0,0
"buenaventura","2018-04",2018-04-01,"Buenaventura","Municipality only",2,1,3,0,12,18,5,0,0
"buenaventura","2018-05",2018-05-01,"Buenaventura","Municipality only",4,3,5,0,3,15,5,0,0
"buenaventura","2018-06",2018-06-01,"Buenaventura","Municipality only",3,3,3,0,9,18,5,0,0
"buenaventura","2018-07",2018-07-01,"Buenaventura","Municipality only",2,1,9,4,12,28,5,0,0
"buenaventura","2018-08",2018-08-01,"Buenaventura","Municipality only",0,0,2,0,9,11,5,0,0
"buenaventura","2018-09",2018-09-01,"Buenaventura","Municipality only",1,1,2,0,7,11,5,0,0
"buenaventura","2018-10",2018-10-01,"Buenaventura","Municipality only",0,0,9,3,5,17,5,0,0
"buenaventura","2018-11",2018-11-01,"Buenaventura","Municipality only",1,0,10,0,4,15,5,0,0
"buenaventura","2018-12",2018-12-01,"Buenaventura","Municipality only",1,1,16,0,5,23,5,0,0
"buenaventura","2019-01",2019-01-01,"Buenaventura","Municipality only",1,0,6,0,10,17,5,0,0
"buenaventura","2019-02",2019-02-01,"Buenaventura","Municipality only",0,0,6,0,10,16,5,0,0
"buenaventura","2019-03",2019-03-01,"Buenaventura","Municipality only",2,0,8,0,7,17,5,0,0
"buenaventura","2019-04",2019-04-01,"Buenaventura","Municipality only",0,0,8,0,6,14,5,0,0
"buenaventura","2019-05",2019-05-01,"Buenaventura","Municipality only",0,0,10,0,11,21,5,0,0
"buenaventura","2019-06",2019-06-01,"Buenaventura","Municipality only",2,2,15,0,6,25,5,0,0
"buenaventura","2019-07",2019-07-01,"Buenaventura","Municipality only",3,1,11,0,6,21,5,0,0
"buenaventura","2019-08",2019-08-01,"Buenaventura","Municipality only",0,0,9,0,15,24,5,0,0
"buenaventura","2019-09",2019-09-01,"Buenaventura","Municipality only",0,0,7,0,16,23,5,0,0
"buenaventura","2019-10",2019-10-01,"Buenaventura","Municipality only",0,0,4,1,7,12,5,0,0
"buenaventura","2019-11",2019-11-01,"Buenaventura","Municipality only",1,1,7,0,14,23,5,0,0
"buenaventura","2019-12",2019-12-01,"Buenaventura","Municipality only",0,0,6,0,11,17,5,0,0
"buenaventura","2020-01",2020-01-01,"Buenaventura","Municipality only",1,0,4,0,10,15,5,0,0
"buenaventura","2020-02",2020-02-01,"Buenaventura","Municipality only",2,2,6,0,10,20,5,0,0
"buenaventura","2020-03",2020-03-01,"Buenaventura","Municipality only",2,1,1,0,3,7,5,0,0
"buenaventura","2020-04",2020-04-01,"Buenaventura","Municipality only",0,0,9,0,5,14,5,0,0
"buenaventura","2020-05",2020-05-01,"Buenaventura","Municipality only",0,0,5,1,2,8,5,0,0
"buenaventura","2020-06",2020-06-01,"Buenaventura","Municipality only",0,0,7,0,4,11,5,0,0
"buenaventura","2020-07",2020-07-01,"Buenaventura","Municipality only",1,0,5,0,13,19,5,0,0
"buenaventura","2020-08",2020-08-01,"Buenaventura","Municipality only",1,0,4,0,6,11,5,0,0
"buenaventura","2020-09",2020-09-01,"Buenaventura","Municipality only",2,2,12,0,7,23,5,0,0
"buenaventura","2020-10",2020-10-01,"Buenaventura","Municipality only",0,0,6,0,7,13,5,0,0
"buenaventura","2020-11",2020-11-01,"Buenaventura","Municipality only",1,1,3,0,11,16,5,0,0
"buenaventura","2020-12",2020-12-01,"Buenaventura","Municipality only",3,2,11,0,23,39,5,0,1
"buenaventura","2021-01",2021-01-01,"Buenaventura","Municipality only",0,0,21,0,32,53,5,0,1
"buenaventura","2021-02",2021-02-01,"Buenaventura","Municipality only",5,4,8,0,17,34,5,0,1
"buenaventura","2021-03",2021-03-01,"Buenaventura","Municipality only",0,0,8,2,9,19,5,0,1
"buenaventura","2021-04",2021-04-01,"Buenaventura","Municipality only",1,1,16,0,8,26,5,0,1
"buenaventura","2021-05",2021-05-01,"Buenaventura","Municipality only",6,6,18,3,13,46,5,0,1
"buenaventura","2021-06",2021-06-01,"Buenaventura","Municipality only",4,2,13,0,14,33,5,0,1
"buenaventura","2021-07",2021-07-01,"Buenaventura","Municipality only",4,4,25,0,21,54,5,0,1
"buenaventura","2021-08",2021-08-01,"Buenaventura","Municipality only",2,1,13,0,35,51,5,0,1
"buenaventura","2021-09",2021-09-01,"Buenaventura","Municipality only",1,1,10,0,16,28,5,0,1
"buenaventura","2021-10",2021-10-01,"Buenaventura","Municipality only",8,3,15,4,21,51,5,0,1
"buenaventura","2021-11",2021-11-01,"Buenaventura","Municipality only",6,4,13,0,22,45,5,0,1
"buenaventura","2021-12",2021-12-01,"Buenaventura","Municipality only",1,0,12,0,32,45,5,0,1
"buenaventura","2022-01",2022-01-01,"Buenaventura","Municipality only",13,9,14,0,25,61,5,0,1
"buenaventura","2022-02",2022-02-01,"Buenaventura","Municipality only",13,11,13,0,23,60,5,0,1
"buenaventura","2022-03",2022-03-01,"Buenaventura","Municipality only",9,8,13,0,33,63,5,0,1
"buenaventura","2022-04",2022-04-01,"Buenaventura","Municipality only",5,3,10,0,31,49,5,0,1
"buenaventura","2022-05",2022-05-01,"Buenaventura","Municipality only",3,1,9,2,24,39,5,0,1
"buenaventura","2022-06",2022-06-01,"Buenaventura","Municipality only",9,7,7,0,14,37,5,0,1
