"FECHA HECHO","COD_DEPTO","DEPARTAMENTO","COD_MUNI","MUNICIPIO","CANTIDAD"
"03/27/2026","66","RISARALDA","66001","PEREIRA","1"
"03/26/2026","76","VALLE DEL CAUCA","76001","CALI","1"
"03/26/2026","50","META","50001","VILLAVICENCIO","1"
"03/25/2026","18","CAQUETA","18094","BELEN DE LOS ANDAQUIES","1"
"03/25/2026","11","BOGOTA D.C.","11001","BOGOTA D.C.","1"
"03/25/2026","11","BOGOTA D.C.","11001","BOGOTA D.C.","1"
"03/25/2026","70","SUCRE","70110","BUENAVISTA","1"
"03/25/2026","13","BOLIVAR","13001","CARTAGENA DE INDIAS","1"
"03/25/2026","54","NORTE DE SANTANDER","54001","CUCUTA","1"
"03/25/2026","73","TOLIMA","73001","IBAGUE","1"
"03/25/2026","05","ANTIOQUIA","05001","MEDELLIN","1"
"03/25/2026","05","ANTIOQUIA","05001","MEDELLIN","1"
"03/25/2026","05","ANTIOQUIA","05001","MEDELLIN","1"
"03/25/2026","73","TOLIMA","73449","MELGAR","1"
"03/25/2026","41","HUILA","41001","NEIVA","1"
"03/25/2026","19","CAUCA","19001","POPAYAN","1"
"03/25/2026","44","LA GUAJIRA","44001","RIOHACHA","1"
"03/25/2026","20","CESAR","20001","VALLEDUPAR","1"
"03/24/2026","50","META","50124","CABUYARO","1"
"03/24/2026","76","VALLE DEL CAUCA","76248","EL CERRITO","1"
"03/24/2026","05","ANTIOQUIA","05364","JARDIN","1"
"03/24/2026","18","CAQUETA","18410","LA MONTAÑITA","1"
"03/24/2026","27","CHOCO","27615","RIOSUCIO","1"
"03/24/2026","76","VALLE DEL CAUCA","76834","TULUA","1"
"03/24/2026","20","CESAR","20001","VALLEDUPAR","1"
"03/24/2026","85","CASANARE","85001","YOPAL","1"
"03/23/2026","11","BOGOTA D.C.","11001","BOGOTA D.C.","1"
"03/23/2026","76","VALLE DEL CAUCA","76001","CALI","1"
"03/23/2026","44","LA GUAJIRA","44430","MAICAO","1"
"03/23/2026","44","LA GUAJIRA","44430","MAICAO","1"
"03/23/2026","15","BOYACA","15572","PUERTO BOYACA","1"
"03/23/2026","08","ATLANTICO","08573","PUERTO COLOMBIA","1"
"03/22/2026","11","BOGOTA D.C.","11001","BOGOTA D.C.","1"
"03/22/2026","11","BOGOTA D.C.","11001","BOGOTA D.C.","1"
"03/22/2026","76","VALLE DEL CAUCA","76001","CALI","1"
"03/22/2026","08","ATLANTICO","08758","SOLEDAD","1"
"03/22/2026","20","CESAR","20001","VALLEDUPAR","1"
"03/21/2026","08","ATLANTICO","08001","BARRANQUILLA","1"
