municipio,group,start_date,end_date,source,link,end_source,end_link
norte de santander,ELN,21/11/2022,17/01/2025,Mesa instalada Caracas; Semana,https://www.semana.com/politica/articulo/atencion-gobierno-confirmo-que-el-lunes-21-de-noviembre-en-venezuela-se-instala-la-mesa-para-los-dialogos-de-paz-con-el-eln/202218/,Petro suspende dialogos tras crimenes Catatumbo; Presidencia,https://www.presidencia.gov.co/prensa/Paginas/Presidente-Petro-suspende-dialogos-con-el-Eln-tras-crimenes-de-guerra-en-Catatumbo-250117.aspx
choco,ELN,21/11/2022,17/01/2025,Frente Occidental ELN (San Juan); Semana,https://www.semana.com/politica/articulo/atencion-gobierno-confirmo-que-el-lunes-21-de-noviembre-en-venezuela-se-instala-la-mesa-para-los-dialogos-de-paz-con-el-eln/202218/,Petro suspende dialogos tras crimenes Catatumbo; Presidencia,https://www.presidencia.gov.co/prensa/Paginas/Presidente-Petro-suspende-dialogos-con-el-Eln-tras-crimenes-de-guerra-en-Catatumbo-250117.aspx
valle del cauca,ELN,21/11/2022,17/01/2025,Frente Occidental ELN (Bajo Calima); Semana,https://www.semana.com/politica/articulo/atencion-gobierno-confirmo-que-el-lunes-21-de-noviembre-en-venezuela-se-instala-la-mesa-para-los-dialogos-de-paz-con-el-eln/202218/,Petro suspende dialogos tras crimenes Catatumbo; Presidencia,https://www.presidencia.gov.co/prensa/Paginas/Presidente-Petro-suspende-dialogos-con-el-Eln-tras-crimenes-de-guerra-en-Catatumbo-250117.aspx
bolivar,ELN,21/11/2022,17/01/2025,Sur de Bolivar; Frente Norte ELN; Semana,https://www.semana.com/politica/articulo/atencion-gobierno-confirmo-que-el-lunes-21-de-noviembre-en-venezuela-se-instala-la-mesa-para-los-dialogos-de-paz-con-el-eln/202218/,Petro suspende dialogos tras crimenes Catatumbo; Presidencia,https://www.presidencia.gov.co/prensa/Paginas/Presidente-Petro-suspende-dialogos-con-el-Eln-tras-crimenes-de-guerra-en-Catatumbo-250117.aspx
cesar,ELN,21/11/2022,17/01/2025,Sur de Cesar; Frente Norte ELN; Semana,https://www.semana.com/politica/articulo/atencion-gobierno-confirmo-que-el-lunes-21-de-noviembre-en-venezuela-se-instala-la-mesa-para-los-dialogos-de-paz-con-el-eln/202218/,Petro suspende dialogos tras crimenes Catatumbo; Presidencia,https://www.presidencia.gov.co/prensa/Paginas/Presidente-Petro-suspende-dialogos-con-el-Eln-tras-crimenes-de-guerra-en-Catatumbo-250117.aspx
casanare,ELN,21/11/2022,17/01/2025,Frente Jose David Suarez; Defensoria AT 016-2024,https://www.elespectador.com/judicial/defensoria-emitio-alerta-temprana-en-casanare-por-disputas-entre-el-clan-del-golfo-eln-y-disidencias-de-las-farc/,Petro suspende dialogos tras crimenes Catatumbo; Presidencia,https://www.presidencia.gov.co/prensa/Paginas/Presidente-Petro-suspende-dialogos-con-el-Eln-tras-crimenes-de-guerra-en-Catatumbo-250117.aspx
santander,ELN,21/11/2022,17/01/2025,Frente Nororiental ELN; Defensoria,https://www.semana.com/politica/articulo/atencion-gobierno-confirmo-que-el-lunes-21-de-noviembre-en-venezuela-se-instala-la-mesa-para-los-dialogos-de-paz-con-el-eln/202218/,Petro suspende dialogos tras crimenes Catatumbo; Presidencia,https://www.presidencia.gov.co/prensa/Paginas/Presidente-Petro-suspende-dialogos-con-el-Eln-tras-crimenes-de-guerra-en-Catatumbo-250117.aspx
antioquia,Valle de Aburrá urban peace,02/06/2023,31/12/2099,Mesa instalada La Paz Itagüí; FIP,https://ideaspaz.org/publicaciones/investigaciones-analisis/2024-06/negociar-la-paz-cuando-no-hay-guerra-el-tablero-de-la-paz-total-en-el-valle-de-aburra,ongoing as of 2026-05,
choco,Quibdó urban peace,18/08/2023,31/12/2099,Mesa instalada Quibdó; El Espectador,https://www.elespectador.com/colombia-20/paz-y-memoria/paz-urbana-en-quibdo-las-bandas-que-negocian-la-paz-con-petro-locos-yam-rps-mexicanos/,ongoing as of 2026-05,
cauca,EMC,16/10/2023,17/04/2024,Mesa instalada Tibú; Infobae,https://www.infobae.com/colombia/2023/10/16/en-vivo-se-instalo-la-mesa-de-dialogos-entre-el-gobierno-y-las-disidencias-de-ivan-mordisco-en-tibu-norte-de-santander/,Ruptura cese al fuego Mordisco; El Espectador,https://www.elespectador.com/colombia-20/conflicto/petro-rompe-cese-al-fuego-con-ivan-mordisco-asi-se-gesto-division-del-emc-en-dos-bandos/
nariño,EMC,16/10/2023,17/04/2024,Mesa instalada Tibú; Infobae,https://www.infobae.com/colombia/2023/10/16/en-vivo-se-instalo-la-mesa-de-dialogos-entre-el-gobierno-y-las-disidencias-de-ivan-mordisco-en-tibu-norte-de-santander/,Ruptura cese al fuego Mordisco; El Espectador,https://www.elespectador.com/colombia-20/conflicto/petro-rompe-cese-al-fuego-con-ivan-mordisco-asi-se-gesto-division-del-emc-en-dos-bandos/
putumayo,EMC,16/10/2023,17/04/2024,Mesa instalada Tibú; Infobae,https://www.infobae.com/colombia/2023/10/16/en-vivo-se-instalo-la-mesa-de-dialogos-entre-el-gobierno-y-las-disidencias-de-ivan-mordisco-en-tibu-norte-de-santander/,Ruptura cese al fuego Mordisco; El Espectador,https://www.elespectador.com/colombia-20/conflicto/petro-rompe-cese-al-fuego-con-ivan-mordisco-asi-se-gesto-division-del-emc-en-dos-bandos/
